id,path,ex1,ex2,allwords
p01,create novel ways for visual artists to express themselves and display their work,"Use it as a canvas for art, as it reacts to touch.","It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.","create novel ways for visual artists to express themselves and display their work Use it as a canvas for art, as it reacts to touch. It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example."
p02,enhance live show experiences,back drops for theater productions. This makes scenery easy to change from scene to scene,use them on a float for a parade to show whatever theme you are trying to represent during the event,enhance live show experiences back drops for theater productions. This makes scenery easy to change from scene to scene use them on a float for a parade to show whatever theme you are trying to represent during the event
p03,enhance the customer experience at restaurants,chef coats could display food images of the menu they offer. same for the waiters at a restaurant,Interactive menus at restaurants - press to learn more about an item,enhance the customer experience at restaurants chef coats could display food images of the menu they offer. same for the waiters at a restaurant Interactive menus at restaurants - press to learn more about an item
p04,enhance the educational experience of students inside and outside the classroom,It can be used in school as a way to show kids how different climates in different places might feel,Interactive text books for students,enhance the educational experience of students inside and outside the classroom It can be used in school as a way to show kids how different climates in different places might feel Interactive text books for students
p05,increase productivity/efficiency in everyday life,"a shirt that you can load data into the sleeve on, in case you need notes about something later",ability to write notes on clothes with touch sense,"increase productivity/efficiency in everyday life a shirt that you can load data into the sleeve on, in case you need notes about something later ability to write notes on clothes with touch sense"
p06,make and display more effective advertisements in stores and in the general public,Airplane draggable banner that can display anything,Personalized billboards from companies that reflect changes in weather,make and display more effective advertisements in stores and in the general public Airplane draggable banner that can display anything Personalized billboards from companies that reflect changes in weather
p07,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments","Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress","Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination","make clothing/wearables that enhance people's safety in different situations, activities, and work environments Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination"
p08,make household items/decor more visually aesthetic,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!",Curtains that block light but project the view outside,"make household items/decor more visually aesthetic A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless! Curtains that block light but project the view outside"
p09,make it easier / more comfortable for people to fall asleep in the bedroom,Mood changing bed comforter,night light for kids room,make it easier / more comfortable for people to fall asleep in the bedroom Mood changing bed comforter night light for kids room
p10,make physically interactive games for the entertainment for adults and/or of children,Make soft interactive baby toys that are safe for use even when parents aren't around,Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot,make physically interactive games for the entertainment for adults and/or of children Make soft interactive baby toys that are safe for use even when parents aren't around Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot
