previous_id,content
wedding-prop-40,artificial snow
wedding-prop-36,bag of cashews
wedding-prop-70,banana
wedding-prop-49,beverage
wedding-prop-65,book
wedding-prop-33,bookmarks
wedding-prop-43,camera
wedding-prop-52,cap
wedding-prop-62,coin
wedding-prop-58,comic
wedding-prop-7,costume
wedding-prop-14,Decoration
wedding-prop-37,diapers
wedding-prop-56,dinosaur
wedding-prop-45,dish
wedding-prop-60,donation
wedding-prop-54,DVD
wedding-prop-28,EL wire
wedding-prop-27,Fake swords
wedding-prop-25,Furry hats
wedding-prop-53,game
wedding-prop-44,gift
wedding-prop-3,Hat
wedding-prop-4,helmet
wedding-prop-5,hose
wedding-prop-57,instruments
wedding-prop-34,jelly beans
wedding-prop-6,jersey
wedding-prop-1,lei
wedding-prop-8,makeup
wedding-prop-26,Masquerade masks
wedding-prop-41,mitt
wedding-prop-61,net
wedding-prop-67,nutcracker
wedding-prop-11,Pens
wedding-prop-39,pepperoni
wedding-prop-46,photo
wedding-prop-21,planets
wedding-prop-2,pole
wedding-prop-22,Puck
wedding-prop-31,puppies
wedding-prop-19,Rattles
wedding-prop-50,recipe
wedding-prop-66,rope
wedding-prop-35,sand in a bottle.
wedding-prop-30,seashells
wedding-prop-42,smock
wedding-prop-47,song
wedding-prop-68,stethescope
wedding-prop-24,Sunglasses
wedding-prop-48,swimsuit
wedding-prop-38,tablet
wedding-prop-64,teacup
wedding-prop-32,toe rings
wedding-prop-51,toy
wedding-prop-20,Toys
wedding-prop-69,trowel
wedding-prop-13,Watercolors
