previous_id,content,source
wedding-prop-A1H198MRIM37T13,1800s garb period wedding,second
wedding-prop-A1JNC3HWWHJD2J3,80's clothes,second
wedding-prop-A2TACC8H6KB8R73,A bow tie or vintage dress,second
wedding-prop-A2SD7RMON9KR4L2,a disguise,second
wedding-prop-A18THU3JHA6D6S3,A drawing of their favorite animal,second
wedding-prop-A305GO3YC40CZK11,A piece of sporting equipment,second
wedding-prop-A2BPDSYRH7Y8IA6,a spare bride,second
wedding-prop-A2BPDSYRH7Y8IA4,a bake tray,second
wedding-prop-AAEZQL4J6CQGM-2,affair,initial
wedding-prop-A2MK1CWP0EJ8406,Afro wig,second
wedding-prop-A2CY1G4VJV3G8510,after party,second
wedding-prop-AXGCH3EOOB0XG7,Album,second
wedding-prop-A1DP2L19BNZJ2Y3,alcoholic beverage,second
wedding-prop-AJ34WB9Z37ILU8,alien costume,second
wedding-prop-AMDX0UNZS4A1G2,All white attire,second
wedding-prop-A1DP2L19BNZJ2Y8,Alma Mater colors,second
wedding-prop-A3MTAJHYHCIJK43,ammo,second
wedding-prop-A1TYDVHEFPZC863,an empty wine bottle,second
wedding-prop-A18THU3JHA6D6S5,An item from their favorite book,second
wedding-prop-A2U2HC38IZKZFC1,anchor,second
wedding-prop-A1O67YS3DU0ZHX2,Antiques,second
wedding-prop-A1DNJ17PE2RYJZ7,clock,second
wedding-prop-A1GKEEI844CEKI-10,App,initial
wedding-prop-A2YYQJ3JWA2KGD-6,Apples,initial
wedding-prop-A3MTAJHYHCIJK42,appliances,second
wedding-prop-A3GJ2E1A1H5DM75,Appropriate fashion accessory,second
wedding-prop-A3096ZOP616ZIN2,apron,second
wedding-prop-A94DL4GI8ZBUO2,Aquatic gear,second
wedding-prop-A3D61CCA0LVMWV4,arm and leg warmers,second
wedding-prop-A1A3TGZ7DKJWRW4,artifact,second
wedding-prop-40,artificial snow,initial
wedding-prop-A27BSYPO6JCB4Q3,artist prop,second
wedding-prop-A1Q4PWSHDWPH1Q-3,Athletic Shoes,initial
wedding-prop-A3NM5SP9NZ9BOJ1,Baby flowers,second
wedding-prop-A3BL2ZEODD79AZ2,Baby items,second
wedding-prop-A2A52EATFDQJ1P9,backpacks,second
wedding-prop-A3BL2ZEODD79AZ6,bag of candy,second
wedding-prop-36,bag of cashews,initial
wedding-prop-A1M9H7WED4RUD51,ball,second
wedding-prop-A389MQV46PUXVT1,Ball gown,second
wedding-prop-A367ZURE8LUTJV4,Ball of Yarn,second
wedding-prop-70,banana,initial
wedding-prop-A1QK90OHMNVT6N2,band,second
wedding-prop-ASXACVODSYD7G3,Band tshirts,second
wedding-prop-AO2LJAB0IA1DX1,Barn,second
wedding-prop-A3ACUGH5N9VQO214,Baseball uniforms,second
wedding-prop-A8KX1HFH8NE2Q3,Baseballs,second
wedding-prop-A1IZ4NX41GKU4X-9,bash,initial
wedding-prop-A3MTAJHYHCIJK46,bat,second
wedding-prop-A341LHR7178BUY-9,Bathing suit,initial
wedding-prop-A34V8L66BJ7K919,Towels and sunscreen,second
wedding-prop-A2K9BO7DWZLNMA3,Batman wedding cake,second
wedding-prop-A1KJVRDH41EH2811,Bats and gloves,second
